Date,Price,Open,High,Low,Vol.,Change %
08/05/2019,44.6,45.2,45.2,44.6,0.20K,-1.76%
08/02/2019,45.4,45.6,45.6,45.4,,-4.22%
08/01/2019,47.4,49.2,49.2,47.4,0.03K,-4.82%
07/31/2019,49.8,49.4,49.8,49.4,0.02K,-2.35%
07/30/2019,51,50.5,51,50.5,0.01K,0.00%
07/29/2019,51,49.8,51,49.8,0.49K,0.00%
07/26/2019,51,50.5,51,50.5,0.04K,-0.97%
07/25/2019,51.5,51.5,51.5,51.5,,0.98%
07/24/2019,51,50.5,51,50.5,0.20K,3.24%
07/23/2019,49.4,49.4,49.4,49.4,,0.00%
07/22/2019,49.4,49.4,49.4,49.4,,0.41%
07/19/2019,49.2,49.6,50,49.2,0.00K,-0.40%
07/18/2019,49.4,49.4,49.4,49.4,,-1.20%
07/17/2019,50,50,50,50,,0.81%
07/16/2019,49.6,49.6,49.6,49.6,,-0.80%
07/15/2019,50,49.8,50,49.8,0.01K,0.00%
07/12/2019,50,49.4,50,49.4,0.01K,-0.99%
07/11/2019,50.5,50.5,50.5,50.5,,-0.98%
07/10/2019,51,50.5,51,50.5,0.19K,0.99%
07/09/2019,50.5,51.5,51.5,50.5,0.10K,-0.98%
07/08/2019,51,51,51,51,,-1.92%
07/05/2019,52,52,52,52,,-0.95%
07/04/2019,52.5,52.5,52.5,52.5,,0.00%
07/03/2019,52.5,53.5,53.5,52.5,0.03K,-0.94%
07/02/2019,53,53,53,53,,-0.93%
07/01/2019,53.5,53.5,53.5,53.5,,1.90%
06/28/2019,52.5,51.5,52.5,51.5,0.29K,1.94%
06/27/2019,51.5,52,52,51.5,0.19K,-0.96%
06/26/2019,52,52,52,52,,-0.95%
06/25/2019,52.5,52.5,52.5,52.5,0.11K,-0.94%
06/24/2019,53,53,53,53,,0.95%
06/21/2019,52.5,53,53,52.5,,-1.87%
06/20/2019,53.5,53.5,53.5,53.5,,0.94%
06/19/2019,53,53,53,53,,1.92%
06/18/2019,52,51.5,52,51.5,,0.00%
06/17/2019,52,52,52,52,,-0.95%
06/14/2019,52.5,52.5,52.5,52.5,,0.00%
06/13/2019,52.5,52.5,52.5,52.5,,0.00%
06/12/2019,52.5,52.5,52.5,52.5,,0.96%
06/11/2019,52,52,52,52,,0.00%
06/07/2019,52,51.5,52,51.5,,-0.95%
