Date,Price,Open,High,Low,Vol.,Change %
02/01/2010,61.04,62.24,64.23,59.01,76.14M,-3.14%
01/01/2010,63.02,62.74,66.41,62.1,88.23M,1.28%
12/01/2009,62.22,64.24,65.99,58.38,82.25M,-1.61%
11/01/2009,63.24,59.01,65.21,58.01,71.75M,6.17%
10/01/2009,59.57,61.53,67.24,57.67,86.98M,-2.86%
09/01/2009,61.32,59.2,64.96,56.11,90.47M,4.68%
08/01/2009,58.58,53.86,60.42,53.3,65.85M,7.95%
07/01/2009,54.27,47.82,55.63,44.35,82.25M,13.91%
06/01/2009,47.64,51.07,53.45,46.06,84.74M,-4.43%
05/01/2009,49.85,50.39,53.51,46.86,82.88M,0.80%
04/01/2009,49.45,41.17,50.8,40.28,100.50M,18.65%
03/01/2009,41.68,38.01,45.33,36.16,120.86M,6.65%
02/01/2009,39.08,42.06,48.45,37.86,105.46M,-8.30%
01/01/2009,42.62,52.58,55.37,39.53,145.96M,-16.52%
12/01/2008,51.05,46.03,51.3,42.06,121.55M,11.92%
11/01/2008,45.61,46.51,49.23,36.12,160.45M,1.31%
10/01/2008,45.02,63.76,63.94,32.03,307.59M,-29.34%
09/01/2008,63.71,71.22,73.64,61.01,162.08M,-11.46%
08/01/2008,71.96,75.9,77.33,70.06,81.80M,-5.71%
07/01/2008,76.32,68.39,76.9,64.29,155.99M,11.68%
06/01/2008,68.34,70.45,73.92,66.99,139.95M,-3.29%
05/01/2008,70.66,74.69,75.44,68.33,94.44M,-3.51%
04/01/2008,73.23,66.65,74.42,64.78,146.90M,10.08%
03/01/2008,66.52,81.21,83.02,62.88,197.91M,-19.63%
02/01/2008,82.78,85.16,89.75,81.61,134.00M,-0.88%
01/01/2008,83.51,104.99,106.56,77.52,220.35M,-20.83%
12/01/2007,105.49,100.39,106.16,97.82,97.97M,4.96%
11/01/2007,100.51,91.37,102.49,87.54,176.17M,10.67%
10/01/2007,90.82,93.03,96.64,86.19,126.10M,-2.80%
09/01/2007,93.43,89.44,95.93,82.86,138.54M,4.59%
08/01/2007,89.33,88.04,92.06,82.92,179.97M,-1.47%
07/01/2007,90.67,102.62,108.63,89.93,200.98M,-12.20%
06/01/2007,103.27,94.91,104.53,89.49,196.89M,8.81%
05/01/2007,94.91,86.63,96.37,82.62,161.21M,9.80%
04/01/2007,86.44,76.83,89.03,76.6,166.14M,11.47%
03/01/2007,77.54,77.14,80.58,73.52,155.79M,0.34%
02/01/2007,77.28,82.85,83.05,74.81,112.81M,-5.63%
01/01/2007,81.89,73.79,83.53,72.64,157.65M,12.47%
12/01/2006,72.81,69.94,73.68,68.56,96.06M,4.55%
11/01/2006,69.64,68.18,74.12,67.19,126.40M,1.94%
10/01/2006,68.32,66.74,69.64,64.21,108.25M,2.47%
09/01/2006,66.67,64.15,67.26,62.92,86.88M,3.96%
08/01/2006,64.13,61.06,64.93,59.69,102.05M,4.86%
07/01/2006,61.16,66.15,66.75,60.1,104.98M,-7.23%
06/01/2006,65.92,64.77,67.24,58.93,163.14M,1.36%
05/01/2006,65.04,73.08,73.13,62.71,149.01M,-10.51%
04/01/2006,72.68,74.96,77.49,71.81,97.07M,-2.65%
03/01/2006,74.65,75.09,75.72,71.53,102.31M,0.05%
02/01/2006,74.61,72.29,77.03,71.01,86.52M,2.58%
01/01/2006,72.74,70.16,75.06,67.11,132.25M,3.67%
12/01/2005,70.16,62.77,71.5,62.26,112.74M,12.53%
11/01/2005,62.35,60.18,63.84,59.4,96.01M,3.67%
10/01/2005,60.14,62.2,63.57,57.42,100.29M,-3.18%
09/01/2005,62.12,59.89,62.77,59.38,104.69M,4.16%
08/01/2005,59.63,61.68,62.67,58.53,90.45M,-3.32%
07/01/2005,61.68,58.52,64.29,56.4,118.99M,5.49%
06/01/2005,58.47,57.68,61.69,57.62,118.97M,1.67%
05/01/2005,57.51,55.24,57.74,54.02,83.21M,4.80%
04/01/2005,54.88,59.43,60.61,54.49,98.42M,-7.24%
03/01/2005,59.16,57.27,60.85,57.17,94.19M,3.07%
02/01/2005,57.4,59.04,59.86,56.94,97.34M,-2.65%
01/01/2005,58.96,60.5,61.63,58.66,99.70M,-2.47%
12/01/2004,60.45,58.04,60.89,57.95,76.16M,3.54%
11/01/2004,58.38,56.63,60.19,56.63,92.65M,3.26%
10/01/2004,56.54,57.37,60.25,55.37,104.19M,-1.45%
09/01/2004,57.38,55.13,59.62,55.01,104.31M,5.30%
08/01/2004,54.49,55.96,56.4,51.37,90.90M,-3.57%
07/01/2004,56.5,57.75,58.23,52.07,106.02M,-1.35%
06/01/2004,57.28,56.4,58.52,53.56,98.51M,1.83%
05/01/2004,56.25,58.06,60.52,52.63,101.24M,-3.65%
04/01/2004,58.38,58.7,63.76,57.65,107.98M,0.29%
03/01/2004,58.21,60.66,62.44,54.65,137.20M,-3.19%
02/01/2004,60.13,63.19,66.18,59.65,96.30M,-4.53%
